Designator,Mid X,Mid Y,Layer,Rotation
U1,37.639524mm,47.813723mm,Top,0.0
U2,63.499924mm,11.250013mm,Top,0.0
U460,28.054889000000003mm,34.013144999999994mm,Top,270.0
C461,28.604889mm,38.588145mm,Top,180.0
C460,25.929889mm,38.588145mm,Top,0.0
R469,30.704889mm,29.138144999999998mm,Top,0.0
R468,29.829889mm,27.138144999999998mm,Top,270.0
R467,24.699889000000002mm,27.138144999999998mm,Top,270.0
R466,27.404889mm,29.038145mm,Top,0.0
R461,30.999889mm,27.113145mm,Top,270.0
R464,25.874889mm,27.138144999999998mm,Top,270.0
R463,27.049889mm,27.138144999999998mm,Top,270.0
R462,28.655889000000002mm,27.138144999999998mm,Top,270.0
